date,country,oecd_rec,yield_spread,gdp_yoy_growth,inflation_rate,unemp_change_yoy,ind_out_growth,cars_yoy_growth,epu,comp_consumer_conf,vix
1996/9/1,USA,0,0.98,2.601309847,2.840165211,0.1,3.129648581,53.13631953,72.65243,100.6673,17.76
1996/10/1,Canada,0,2.690952381,1.39894111,1.371418471,-0.2,-0.145256111,-39.14974427,118.0784,98.48008233,16.58
1996/10/1,France,0,2.5118,1.014795058,2.357799387,0.5,-0.565747048,-100,83.35417,99.09805,16.58
1996/10/1,Germany,0,3.047,0.749774446,1.368168921,0.6,-2.272723432,100,69.27929,98.27845,16.58
1996/10/1,USA,0,1.15,4.002379484,2.896631722,-0.2,4.362000385,-34.08476586,69.19065,100.696,16.58
1996/11/1,Canada,0,2.959090909,1.39894111,1.482316386,-0.3,0.461005071,100,122.1422,98.47897453,16.15
1996/11/1,France,0,2.5654,1.014795058,2.420856611,0.5,1.820471329,-100,53.38554,98.95924,16.15
1996/11/1,Germany,0,3.156,0.749774446,1.492544278,0.7,-1.977404809,-100,127.69843,98.24368,16.15
1996/11/1,USA,0,1.38,4.002379484,2.890921892,0,4.629223362,7.153557641,69.42779,100.6753,16.15
1996/12/1,Canada,0,2.9605,1.39894111,1.482316386,0.3,0.892312565,-16.05916387,118.05817,98.59716016,16.4
1996/12/1,France,0,2.5929,1.014795058,2.301143921,0.5,0.386753658,-69.9648275,83.0649,98.83996,16.4
1996/12/1,Germany,0,3.168947368,0.749774446,1.490690227,0.7,-0.285706758,-22.33525756,104.2719,98.23736,16.4
1996/12/1,USA,0,1.45,4.002379484,2.754090758,-0.3,5.066562462,-100,81.17971,100.7838,16.4
1997/1/1,Canada,0,2.979090909,2.115618621,1.251426215,0.1,2.240928677,-55.10177107,103.0493,98.82409633,17.98
1997/1/1,France,0,2.6508,1.271071185,2.3054371,0.5,-1.883260531,-60.15176258,81.57215,98.7537,17.98
1997/1/1,Germany,0,3.098695652,0.903927613,1.36306944,0.7,-1.146129933,-23.15366699,100.25532,98.29282,17.98
1997/1/1,USA,0,1.34,4.050134887,2.950807086,-0.2,5.499974231,-59.78811126,73.61083,100.943,17.98
1997/2/1,Canada,0,3.038095238,2.115618621,1.482316386,-0.1,2.363028865,-100,125.92288,98.93491871,15.76
1997/2/1,France,0,2.4492,1.271071185,1.618037135,0.4,0.858640488,70.05478142,45.33016,98.7262,15.76
1997/2/1,Germany,0,3.012272727,0.903927613,1.36306944,0.7,1.304349263,-100,53.11516,98.39731,15.76
1997/2/1,USA,0,1.24,4.050134887,2.877702637,-0.6,4.665363961,-74.01662179,83.65826,101.063,15.76
1997/3/1,Canada,0,3.26,2.115618621,1.480642722,0.7,2.662608497,39.92030769,97.34151,98.90137513,16.58
1997/3/1,France,0,2.5406,1.271071185,1.559402669,0.4,0.899200437,-100,81.54114,98.72335,16.58
1997/3/1,Germany,0,3.106666667,0.903927613,1.36306944,0.8,0.142034652,100,81.1397,98.43652,16.58
1997/3/1,USA,0,1.32,4.050134887,3.002612602,-0.4,4.913701003,-100,77.97562,101.1537,16.58
1997/4/1,Canada,0,3.127727273,2.510962713,1.824392729,0.6,2.390567081,-100,184.98788,98.78100317,16.38
1997/4/1,France,0,2.4656,1.641902664,1.716171617,0.4,1.823024672,100,92.87281,98.73148,16.38
1997/4/1,Germany,0,2.888636364,1.616075971,1.614911083,0.8,1.311954785,100,80.00975,98.35905,16.38
1997/4/1,USA,0,1.12,4.421452443,2.992844616,-0.3,5.068038317,51.55364172,64.19595,101.2757,16.38
1997/5/1,Canada,0,3.1155,2.510962713,1.931824572,0.7,3.729324165,1.942288559,136.50169,98.75067379,16
1997/5/1,France,0,2.3609,1.641902664,1.543332014,0.3,3.113330488,-100,76.70374,98.81302,16
1997/5/1,Germany,0,2.66952381,1.616075971,1.490690227,0.9,2.173905859,100,100.1725,98.23331,16
1997/5/1,USA,0,0.82,4.421452443,3.255203109,-0.2,5.743161178,6.743688974,74.20867,101.3795,16
1997/6/1,Canada,0,3.2695,2.510962713,2.164016286,0.3,2.478753725,-99.67623824,94.35479,98.88257759,19.26
1997/6/1,France,0,2.3054,1.641902664,1.660516605,0.3,1.106707231,-100,75.19551,99.01917,19.26
1997/6/1,Germany,0,2.56,1.616075971,1.485142144,0.9,2.173905859,100,80.47577,98.11357,19.26
1997/6/1,USA,0,0.86,4.421452443,3.322468639,-0.2,6.038185725,-100,69.97417,101.3947,19.26
1997/7/1,Canada,0,3.48,3.73398381,2.159098051,0.1,3.444575328,-100,101.64339,99.17455418,19.47
1997/7/1,France,0,2.3368,1.209059179,1.763854153,0.2,1.169642799,-100,88.76413,99.20274,19.47
1997/7/1,Germany,0,2.664090909,1.923298013,2.09875875,1,0.432910467,100,86.68222,98.05053,19.47
1997/7/1,Italy,0,0.145,0.112734374,2.731712367,0.2,-3.494222869,100,147.87014,100.9705,19.47
1997/7/1,UK,0,1.14029,4.290130548,2.670623145,-0.8,1.86799655,-100,59.4117,102.2394,19.47
1997/7/1,USA,0,1.15,4.314068944,3.044025752,-0.3,6.788009934,-100,74.96831,101.4454,19.47
1997/8/1,Canada,0,3.1875,3.73398381,2.270155061,0,4.609801634,-8.869736234,79.92737,99.41818841,20.14
1997/8/1,France,0,2.1197,1.209059179,1.586677157,0.2,1.680660927,-100,68.00467,99.31365,20.14
1997/8/1,Germany,0,2.3545,1.923298013,1.595082874,0.9,2.765639446,-100,56.29587,97.98038,20.14
1997/8/1,Italy,0,0.003,0.112734374,2.42954898,0.3,-0.756966735,-100,193.49886,100.9349,20.14
1997/8/1,UK,0,0.90772,4.290130548,2.363367799,-0.9,1.483309105,-100,57.9327,102.5222,20.14
1997/8/1,USA,0,1.05,4.314068944,3.034199759,-0.3,6.498876651,-100,87.69729,101.5631,20.14
1997/9/1,Canada,0,3.322,3.73398381,1.920910273,-0.3,4.643031643,-100,127.80496,99.67375793,20.17
1997/9/1,France,0,2.3054,1.209059179,1.016286645,0.2,1.366433677,-29.65284564,62.07292,99.34739,20.17
1997/9/1,Germany,0,2.455263158,1.923298013,1.595082874,1,3.779056026,-100,47.05064,98.05695,20.17
1997/9/1,Italy,0,0.439,0.112734374,2.323321656,0.3,0.764684612,-9.274040159,164.87624,100.7554,20.17
1997/9/1,UK,0,1.15027,4.290130548,2.209131075,-1.1,-0.12345844,-66.32000953,95.83731,102.6803,20.17
1997/9/1,USA,0,1.16,4.314068944,2.761727585,-0.3,7.353625234,-59.96836248,75.01231,101.6957,20.17
1997/10/1,Canada,0,3.32409091,4.159823521,1.691099124,0.1,5.549190544,100,66.1948,100.026599,19.66
1997/10/1,France,0,2.4104,2.077740151,0.937011973,0.1,6.00569804,-100,93.86885,99.49807,19.66
1997/10/1,Germany,0,2.636818182,1.858894882,1.472373063,1,3.343013872,-90.99408194,101.56806,98.20297,19.66
1997/10/1,Italy,0,0.607,1.48117803,2.025064987,0.1,3.694183087,-100,142.68882,100.6469,19.66
1997/10/1,UK,0,1.18363,5.100020581,2.049780381,-1.1,3.625001142,39.87447163,95.51237,102.78,19.66
1997/10/1,USA,0,1.18,4.311271716,2.495214546,-0.5,6.363563383,17.76117633,75.45429,101.8602,19.66
1997/11/1,Canada,0,3.251428571,4.159823521,1.460678935,0.2,5.188404845,17.32850759,108.81663,100.3315368,19.92
1997/11/1,France,0,2.2322,2.077740151,0.87012987,0,2.077294437,-100,82.89987,99.88712,19.92
1997/11/1,Germany,0,2.591111111,1.858894882,1.593128159,0.9,1.152750145,-60.05331412,76.70815,98.3218,19.92
1997/11/1,Italy,0,0.49,1.48117803,1.92123709,0.1,3.525354528,-100,138.69434,100.6677,19.92
1997/11/1,UK,0,0.63596,5.100020581,2.040816327,-1.1,2.481399342,31.8793911,55.2234,102.9196,19.92
1997/11/1,USA,0,1.01,4.311271716,2.234997664,-0.7,6.184098076,-100,73.45813,102.0461,19.92
1997/12/1,Canada,0,3.006190476,4.159823521,1.685398771,-0.7,4.045179416,-100,73.33613,100.6867657,20.19
1997/12/1,France,0,2.2177,2.077740151,0.962163568,0,3.602663601,-90.16249582,88.14984,100.4654,20.19
1997/12/1,Germany,0,2.578571429,1.858894882,1.591178229,0.9,4.584533936,100,100.66198,98.34351,20.19
1997/12/1,Italy,0,0.186,1.48117803,1.72579918,0.1,4.205964888,-100,155.14022,100.774,20.19
1997/12/1,UK,0,0.47718,5.100020581,2.037845706,-0.9,3.370784253,-100,63.46032,102.9281,20.19
1997/12/1,USA,0,0.83,4.311271716,2.297386006,-0.3,5.872938951,-59.22071615,78.48298,102.2155,20.19
