date,country,real_gdp,cpi,unemployment_rate,epu,10_yr_yld,3_mo_yld,oecd_rec,ind_out,comp_consumer_conf,pcar_reg,vix
1929-02-01,USA,,,,,,,,7.409245,,,
1929-03-01,Canada,,7.268897,,,,,,,,,
1929-03-01,USA,,,,,,,,7.43591,,,
1929-04-01,Canada,,7.189887,,,,,,,,,
1929-04-01,USA,,,,,,,,7.569137,,,
1929-05-01,Canada,,7.268897,,,,,,,,,
1929-05-01,USA,,,,,,,,7.702463,,,
1929-06-01,Canada,,7.268897,,,,,,,,,
1929-06-01,USA,,,,,,,,7.755693,,,
1929-07-01,Canada,,7.268897,,,,,,,,,
1929-07-01,USA,,,,,,,,7.862354,,,
1929-08-01,Canada,,7.268897,,,,,,,,,
1929-08-01,USA,,,,,,,,7.782359,,,
1929-09-01,Canada,,7.268897,,,,,,,,,
1929-09-01,USA,,,,,,,,7.729127,,,
1929-10-01,Canada,,7.347906,,,,,,,,,
1929-10-01,USA,,,,,,,,7.595802,,,
1929-11-01,Canada,,7.347906,,,,,,,,,
1929-11-01,USA,,,,,,,,7.222688,,,
1929-12-01,Canada,,7.426916,,,,,,,,,
1929-12-01,USA,,,,,,,,6.902905,,,
1930-01-01,Canada,,7.426916,,,,,,,,,
1930-01-01,USA,,,,,,,,6.902905,,,
1930-02-01,Canada,,7.426916,,,,,,,,,
1930-02-01,USA,,,,,,,,6.876239,,,
1930-03-01,Canada,,7.347906,,,,,,,,,
1930-03-01,USA,,,,,,,,6.769578,,,
1930-04-01,Canada,,7.268897,,,,,,,,,
1930-04-01,USA,,,,,,,,6.716347,,,
1930-05-01,Canada,,7.268897,,,,,,,,,
1930-05-01,USA,,,,,,,,6.609687,,,
1930-06-01,Canada,,7.268897,,,,,,,,,
1930-06-01,USA,,,,,,,,6.42313,,,
1930-07-01,Canada,,7.268897,,,,,,,,,
1930-07-01,USA,,,,,,,,6.129912,,,
1930-08-01,Canada,,7.268897,,,,,,,,,
1930-08-01,USA,,,,,,,,5.996686,,,
1930-09-01,Canada,,7.031867,,,,,,,,,
1930-09-01,USA,,,,,,,,5.890124,,,
1930-10-01,Canada,,7.031867,,,,,,,,,
1930-10-01,USA,,,,,,,,5.730133,,,
1930-11-01,Canada,,7.031867,,,,,,,,,
1930-11-01,USA,,,,,,,,5.596907,,,
1930-12-01,Canada,,6.952857000000001,,,,,,,,,
1930-12-01,USA,,,,,,,,5.46368,,,
1931-01-01,Canada,,6.873848,,,,,,,,,
1931-01-01,USA,,,,,,,,5.437015,,,
1931-02-01,Canada,,6.794838,,,,,,,,,
1931-02-01,USA,,,,,,,,5.46368,,,
1931-03-01,Canada,,6.715828,,,,,,,,,
1931-03-01,USA,,,,,,,,5.570241,,,
1931-04-01,Canada,,6.636817999999999,,,,,,,,,
